ERROR: config not specified
IPv6 support
usage: ssserver [OPTION]...
A fast tunnel proxy that helps you bypass firewalls.

You can supply configurations via either config file or command line arguments.

Proxy options:
  -c CONFIG              path to config file
  -s SERVER_ADDR         server address, default: 0.0.0.0
  -p SERVER_PORT         server port, default: 8388
  -k PASSWORD            password
  -m METHOD              encryption method, default: aes-256-cfb
  -o OBFS                obfsplugin, default: http_simple
  -t TIMEOUT             timeout in seconds, default: 300
  --fast-open            use TCP_FASTOPEN, requires Linux 3.7+
  --workers WORKERS      number of workers, available on Unix/Linux
  --forbidden-ip IPLIST  comma seperated IP list forbidden to connect
  --manager-address ADDR optional server manager UDP address, see wiki

General options:
  -h, --help             show this help message and exit
  -d start/stop/restart  daemon mode
  --pid-file PID_FILE    pid file for daemon mode
  --log-file LOG_FILE    log file for daemon mode
  --user USER            username to run as
  -v, -vv                verbose mode
  -q, -qq                quiet mode, only show warnings/errors
2020-08-07 15:51:18 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:18 INFO     TCP connecting www.youtube.com:443 from ::ffff:111.40.35.2:50766
2020-08-07 15:51:18 INFO     TCP connecting s.ytimg.com:443 from ::ffff:111.40.35.2:50773
2020-08-07 15:51:18 INFO     TCP connecting content-autofill.googleapis.com:443 from ::ffff:111.40.35.2:50769
2020-08-07 15:51:19 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:27 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:57814
2020-08-07 15:51:27 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:28 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:58912
2020-08-07 15:51:31 INFO     TCP connecting ogs.google.com:443 from ::ffff:111.40.35.2:11056
2020-08-07 15:51:31 INFO     TCP connecting apis.google.com:443 from ::ffff:111.40.35.2:11439
2020-08-07 15:51:31 INFO     TCP connecting play.google.com:443 from ::ffff:111.40.35.2:11479
2020-08-07 15:51:31 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:11486
2020-08-07 15:51:32 INFO     TCP connecting accounts.google.com:443 from ::ffff:111.40.35.2:12308
2020-08-07 15:51:33 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:33 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:12819
2020-08-07 15:51:33 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:33 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:13272
2020-08-07 15:51:34 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:34 INFO     TCP connecting accounts.google.com:443 from ::ffff:111.40.35.2:14062
2020-08-07 15:51:34 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:35 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:14359
2020-08-07 15:51:35 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:38 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:17363
2020-08-07 15:51:39 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:39 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:18078
2020-08-07 15:51:40 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:42 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:20433
2020-08-07 15:51:43 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:43 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:21335
2020-08-07 15:51:44 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:46 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:23346
2020-08-07 15:51:46 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:47 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:24858
2020-08-07 15:51:48 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:49 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:26477
2020-08-07 15:51:50 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:51 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:28094
2020-08-07 15:51:51 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:53 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:29601
2020-08-07 15:51:53 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:57 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:32940
2020-08-07 15:51:57 ERROR    [Errno 104] Connection reset by peer
INFO: loading config from /root/shadowsocksr/shadowsocks/../shadowsocks/../config.json
2020-08-07 15:52:43 INFO     loading libcrypto from /root/miniconda3/lib/libcrypto.so.1.1
2020-08-07 15:52:43 INFO     server start with protocol[origin] password [b'password'] method [aes-256-cfb] obfs [plain] obfs_param []
2020-08-07 15:52:43 INFO     starting server at :::18388
2020-08-07 15:52:43 DEBUG    using event model: epoll
2020-08-07 15:52:47 DEBUG    accept
2020-08-07 15:52:47 DEBUG    server port 18388 connections = 1
2020-08-07 15:52:47 INFO     TCP connecting az764295.vo.msecnd.net:443 from ::ffff:111.40.35.2:22496
2020-08-07 15:52:47 DEBUG    resolving b'az764295.vo.msecnd.net' with type 1 using server 183.60.83.19
2020-08-07 15:52:47 DEBUG    resolving b'az764295.vo.msecnd.net' with type 1 using server 183.60.82.98
2020-08-07 15:52:47 DEBUG    got local error
2020-08-07 15:52:47 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:52:47 DEBUG    destroy: az764295.vo.msecnd.net:443
2020-08-07 15:52:47 DEBUG    destroying remote
2020-08-07 15:52:47 DEBUG    destroying local
2020-08-07 15:52:47 DEBUG    server port 18388 connections = 0
2020-08-07 15:53:10 DEBUG    accept
2020-08-07 15:53:10 DEBUG    server port 18388 connections = 1
2020-08-07 15:53:10 INFO     TCP connecting raw.githubusercontent.com:443 from ::ffff:111.40.35.2:41671
2020-08-07 15:53:10 DEBUG    resolving b'raw.githubusercontent.com' with type 1 using server 183.60.83.19
2020-08-07 15:53:10 DEBUG    resolving b'raw.githubusercontent.com' with type 1 using server 183.60.82.98
2020-08-07 15:53:23 DEBUG    accept
2020-08-07 15:53:23 DEBUG    server port 18388 connections = 2
2020-08-07 15:53:23 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:52549
2020-08-07 15:53:23 DEBUG    resolving b'www.google.com' with type 1 using server 183.60.83.19
2020-08-07 15:53:23 DEBUG    resolving b'www.google.com' with type 1 using server 183.60.82.98
2020-08-07 15:53:23 DEBUG    accept
2020-08-07 15:53:23 DEBUG    server port 18388 connections = 3
2020-08-07 15:53:23 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:49982
2020-08-07 15:53:23 DEBUG    resolving b'mail.google.com' with type 1 using server 183.60.83.19
2020-08-07 15:53:23 DEBUG    resolving b'mail.google.com' with type 1 using server 183.60.82.98
2020-08-07 15:53:26 DEBUG    accept
2020-08-07 15:53:26 DEBUG    server port 18388 connections = 4
2020-08-07 15:53:26 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:54911
2020-08-07 15:53:26 DEBUG    hit cache: b'mail.google.com'
2020-08-07 15:53:28 DEBUG    accept
2020-08-07 15:53:28 DEBUG    server port 18388 connections = 5
2020-08-07 15:53:28 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:57071
2020-08-07 15:53:28 DEBUG    hit cache: b'mail.google.com'
2020-08-07 15:53:29 DEBUG    accept
2020-08-07 15:53:29 DEBUG    server port 18388 connections = 6
2020-08-07 15:53:29 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:57769
2020-08-07 15:53:29 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:53:29 DEBUG    accept
2020-08-07 15:53:29 DEBUG    server port 18388 connections = 7
2020-08-07 15:53:29 INFO     TCP connecting raw.githubusercontent.com:443 from ::ffff:111.40.35.2:58129
2020-08-07 15:53:29 DEBUG    hit cache: b'raw.githubusercontent.com'
2020-08-07 15:53:30 DEBUG    accept
2020-08-07 15:53:30 DEBUG    server port 18388 connections = 8
2020-08-07 15:53:30 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:58874
2020-08-07 15:53:30 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:53:31 DEBUG    accept
2020-08-07 15:53:31 DEBUG    server port 18388 connections = 9
2020-08-07 15:53:31 DEBUG    accept
2020-08-07 15:53:31 DEBUG    server port 18388 connections = 10
2020-08-07 15:53:31 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:59073
2020-08-07 15:53:31 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:53:31 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:58997
2020-08-07 15:53:31 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:53:33 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:33 DEBUG    destroying remote
2020-08-07 15:53:33 DEBUG    destroying local
2020-08-07 15:53:33 DEBUG    server port 18388 connections = 9
2020-08-07 15:53:33 DEBUG    destroy: mail.google.com:443
2020-08-07 15:53:33 DEBUG    destroying remote
2020-08-07 15:53:33 DEBUG    destroying local
2020-08-07 15:53:33 DEBUG    server port 18388 connections = 8
2020-08-07 15:53:33 DEBUG    accept
2020-08-07 15:53:33 DEBUG    server port 18388 connections = 9
2020-08-07 15:53:33 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:58781
2020-08-07 15:53:33 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:53:34 DEBUG    accept
2020-08-07 15:53:34 DEBUG    server port 18388 connections = 10
2020-08-07 15:53:34 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:59173
2020-08-07 15:53:34 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:53:36 DEBUG    accept
2020-08-07 15:53:36 DEBUG    server port 18388 connections = 11
2020-08-07 15:53:36 INFO     TCP connecting nexus.officeapps.live.com:443 from ::ffff:111.40.35.2:13157
2020-08-07 15:53:36 DEBUG    resolving b'nexus.officeapps.live.com' with type 1 using server 183.60.83.19
2020-08-07 15:53:36 DEBUG    resolving b'nexus.officeapps.live.com' with type 1 using server 183.60.82.98
2020-08-07 15:53:38 DEBUG    destroy: mail.google.com:443
2020-08-07 15:53:38 DEBUG    destroying remote
2020-08-07 15:53:38 DEBUG    destroying local
2020-08-07 15:53:38 DEBUG    server port 18388 connections = 10
2020-08-07 15:53:39 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:39 DEBUG    destroying remote
2020-08-07 15:53:39 DEBUG    destroying local
2020-08-07 15:53:39 DEBUG    server port 18388 connections = 9
2020-08-07 15:53:40 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:40 DEBUG    destroying remote
2020-08-07 15:53:40 DEBUG    destroying local
2020-08-07 15:53:40 DEBUG    server port 18388 connections = 8
2020-08-07 15:53:41 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:41 DEBUG    destroying remote
2020-08-07 15:53:41 DEBUG    destroying local
2020-08-07 15:53:41 DEBUG    server port 18388 connections = 7
2020-08-07 15:53:41 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:41 DEBUG    destroying remote
2020-08-07 15:53:41 DEBUG    destroying local
2020-08-07 15:53:41 DEBUG    server port 18388 connections = 6
2020-08-07 15:53:43 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:43 DEBUG    destroying remote
2020-08-07 15:53:43 DEBUG    destroying local
2020-08-07 15:53:43 DEBUG    server port 18388 connections = 5
2020-08-07 15:53:44 DEBUG    accept
2020-08-07 15:53:44 DEBUG    server port 18388 connections = 6
2020-08-07 15:53:44 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:19608
2020-08-07 15:53:44 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:53:44 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:44 DEBUG    destroying remote
2020-08-07 15:53:44 DEBUG    destroying local
2020-08-07 15:53:44 DEBUG    server port 18388 connections = 5
2020-08-07 15:53:54 DEBUG    destroy: www.google.com:443
2020-08-07 15:53:54 DEBUG    destroying remote
2020-08-07 15:53:54 DEBUG    destroying local
2020-08-07 15:53:54 DEBUG    server port 18388 connections = 4
2020-08-07 15:53:56 DEBUG    accept
2020-08-07 15:53:56 DEBUG    server port 18388 connections = 5
2020-08-07 15:53:56 INFO     TCP connecting nexus.officeapps.live.com:443 from ::ffff:111.40.35.2:29094
2020-08-07 15:53:56 DEBUG    hit cache: b'nexus.officeapps.live.com'
2020-08-07 15:53:58 DEBUG    accept
2020-08-07 15:53:58 DEBUG    server port 18388 connections = 6
2020-08-07 15:53:58 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:31620
2020-08-07 15:53:58 DEBUG    hit cache: b'www.google.com'
2020-08-07 15:54:08 DEBUG    destroy: www.google.com:443
2020-08-07 15:54:08 DEBUG    destroying remote
2020-08-07 15:54:08 DEBUG    destroying local
2020-08-07 15:54:08 DEBUG    server port 18388 connections = 5
2020-08-07 15:54:16 DEBUG    accept
2020-08-07 15:54:16 DEBUG    server port 18388 connections = 6
2020-08-07 15:54:16 INFO     TCP connecting nexus.officeapps.live.com:443 from ::ffff:111.40.35.2:46388
2020-08-07 15:54:16 DEBUG    hit cache: b'nexus.officeapps.live.com'
2020-08-07 15:54:35 DEBUG    accept
2020-08-07 15:54:35 DEBUG    server port 18388 connections = 7
2020-08-07 15:54:35 INFO     TCP connecting nexus.officeapps.live.com:443 from ::ffff:111.40.35.2:12596
2020-08-07 15:54:35 DEBUG    hit cache: b'nexus.officeapps.live.com'
2020-08-07 15:54:36 DEBUG    got remote error
2020-08-07 15:54:36 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:54:36 DEBUG    destroy: nexus.officeapps.live.com:443
2020-08-07 15:54:36 DEBUG    destroying remote
